pact1,pact2,pact3,pact4,pact5,pact6,pact7,pact8,pact9,pact10,pact11,pact12,pact13,pact14,pact15,pact16,pact17,pact18,pact19,pact20,pact21,pact22,pact23,pact24,pact25,pact26,pact27,pact28,pact29,pact30,pact31,pact32,pact33,pact34,pact35,pact36,pact37,pact38,pact39,pact40,pact41,pact42,pact43,pact44,pact45,pact46,pact47,pact48,pact49,pact50,pact51,pact52,pact53,pact54,pact55,pact56,pact57,pact58,pact59,pact60,pact61,pact62,pact63,pact64,pact65,pact66,pact67,pact68,pact69,pact70,pact71,pact72,pact73,pact74,pact75,pact76,pact77,pact78,pact79,pact80,pact81,pact82,pact83,pact84,pact85,pact86,pact87,pact88,pact89,pact90,pact91,pact92,pact93,pact94,pact95,pact96,pact97,pact98,pact99,pact100,pact101,pact102,pact103,pact104,pact105,pact106,pact107,pact108,pact109,pact110,pact111,pact112,pact113,pact114,pact115,pact116,pact117,pact118,pact119,pact120,pact121,pact122,pact123,pact124,pact125,pact126,pact127,pact128,pact129,pact130,pact131,pact132,pact133,pact134,pact135,pact136,pact137,pact138,pact139,pact140,pact141,pact142,pact143,pact144
1,1,1,1,1,1,1,1,1,1,1,1,15,15,3,3,3,15,15,15,6,51,73,73,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,54,54,54,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,43,43,5,5,5,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,20,20,20,20,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,20,20,20,20,20,20,53,73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,73,53,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,28,28,28,28,28,28,28,3,3,3,21,21,21,21,21,21,21,21,21,21,45,23,23,23,23,23,23,45,55,24,24,24,24,24,24,24,24,24,55,4,4,4,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,20,20,20,20,20,41,23,23,23,55,8,8,8,8,8,8,8,8,8,8,8,51,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,44,5,5,5,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,3,2,2,2,2,2,2,2,2,54,45,45,45,45,45,45,5,4,21,21,21,21,16,16,16,16,16,16,16,16,16,16,16,4,4,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,45,45,45,45,45,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,3,3,3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,5,4,4,5,45,45,19,19,19,19,19,19,19,19,19,45,45,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4,4,4,41,41,45,45,45,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,5,4,3,2,2,2,2,2,55,3,3,3,3,3,55,1,1,1,5,4,3,2,2,2,2,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,20,20,20,20,20,43,11,11,11,11,11,11,11,11,11,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,43,3,3,44,44,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,44,44,19,19,19,19,19,19,19,19,19,19,19,4,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,15,15,15,15,15,15,15,15,99,99,99,99,99,6,6,6,6,6,6,2,2,2,2,51,4,4,44,19,19,19,19,19,19,19,19,44,6,6,15,15,15,15,15,15,15,51,15,15,15,15,15,15,5,5,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,5,15,15,15,15,52,52,52,7,7,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,4,4,4,4,4,4,20,20,20,20,20,20,45,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,45,3,3,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
