serial,Gora,Ten1,Tied,LLord,Furn,DMHSIZE,NumAdult,NumChild,NumDepCh,N1TO4,N5TO10,N11TO15,RESPSEX,RESPAGE,RESPMAR,RESPWith,RESPHldr,RELHRP,HHTypb,HHTYPA,HHTYPe,Parent,ParTod,Cars,CAR,Numcar,FullEd,HighEd,Highed4,Wrking,Qhealth1,SchemeET,JbAway,OwnBus,RelBus,Looked,StartJ,YInAct,DVILO3a,DVILO4a,Stat,SVise,EmpNo,Solo,SENo,FtPtWk,Parthrs,ES2000,NSSECB,nssecac,NSECAC5,NSECAC3,Everwk,sumgross,Nation1,Nation2,Nation3,Nation4,Nation5,Nation6,Ethnic,Paidjob,AGEX,AGEH,DeFact1,DeFacto,LEFTED,TENgrp,DiaryDay,TotUs1,dyear
2005060900907,5,2,-1,-1,-1,4,3,1,2,0,0,1,2,43,2,-1,3,1,2,6,2,1,2,1,3,2,16,5,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,2,-1,7,7.1,3,2,2,-1,13,5,-1,-1,-1,-1,-1,1,2,2,7,1,1,2,2,5,15,2005
2005060900908,5,1,-1,-1,-1,2,2,0,0,0,0,0,1,52,2,-1,3,0,3,3,3,2,-1,1,2,1,17,5,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,-1,-1,2,-1,6,4.1,2,1,1,-1,19,1,-1,-1,-1,-1,-1,1,1,3,9,1,1,2,1,5,20,2005
2005060900909,5,2,-1,-1,-1,6,2,4,4,1,1,2,1,36,2,-1,3,0,2,7,2,1,1,1,2,1,16,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,3,-1,-1,1,-1,7,7.2,3,2,2,-1,25,5,-1,-1,-1,-1,-1,6,1,2,6,1,1,2,2,5,37.5,2005
2005060900910,5,2,-1,-1,-1,2,2,0,0,0,0,0,2,35,1,1,1,0,3,3,3,2,-1,1,3,2,17,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,12.6,6,5,3,-1,98,1,-1,-1,-1,-1,-1,1,2,2,6,1,2,2,2,3,31.5,2005
2005060900912,5,1,-1,-1,-1,1,1,0,0,0,0,0,2,68,5,-1,1,0,1,2,1,2,-1,1,2,1,16,6,2,2,2,-1,2,2,2,2,-1,6,3,4,1,2,2,-1,-1,2,1,7,7.1,3,2,2,1,98,5,-1,-1,-1,-1,-1,1,0,5,11,3,4,2,1,5,-1,2005
2005060900913,5,2,-1,-1,-1,2,2,0,0,0,0,0,2,46,2,-1,3,0,3,3,3,2,-1,1,3,2,16,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,-1,-1,1,-1,6,4.1,2,1,1,-1,25,1,-1,-1,-1,-1,-1,1,2,3,8,1,1,2,2,4,48,2005
2005060900914,5,4,2,7,3,3,2,1,1,1,0,0,2,20,2,-1,1,0,2,6,2,1,1,1,2,1,16,6,2,2,1,2,2,2,2,2,-1,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,14.1,8,6,4,2,6,5,-1,-1,-1,-1,-1,8,1,1,3,1,1,2,4,6,-1,2005
2005060900915,5,1,-1,-1,-1,2,2,0,0,0,0,0,1,24,1,2,5,18,6,3,5,2,-1,1,2,1,16,6,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,12.4,6,5,3,-1,17,5,-1,-1,-1,-1,-1,1,2,1,3,2,3,2,1,4,45,2005
2005060900917,5,2,-1,-1,-1,2,2,0,0,0,0,0,1,61,2,-1,3,0,3,3,3,2,-1,2,1,-1,15,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,-1,-1,1,-1,6,10,5,4,3,-1,21,1,-1,-1,-1,-1,-1,1,1,4,10,1,1,2,2,5,48,2005
2005060900918,5,2,-1,-1,-1,5,3,2,3,0,1,1,2,17,1,2,5,3,2,6,2,2,-1,1,3,2,97,5,2,2,2,2,2,2,2,2,-1,1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,15,8,6,4,2,6,5,-1,-1,-1,-1,-1,7,2,1,1,2,3,5,2,7,-1,2005
