700,247,0,8,1736,20,2734,4045,1147,3675,1
455,37,145,652,1338,20,1271,3283,514,1017,1
486,752,1,8,1298,63,2045,5058,602,1268,1
606,679,2,84,989,18,1999,3883,340,894,1
470,20,862,48,1630,20,2128,4696,392,414,1
426,858,29,7,814,62,1169,2782,239,638,1
535,1021,30,7,1472,41,1538,1968,233,445,1
714,54,8,8,900,17,1395,3424,213,180,1
623,22,802,9,936,44,1447,2102,228,1330,1
687,56,3,10,885,95,1147,2476,388,469,1
269,853,2,7,896,14,2294,3397,179,666,1
512,28,3,378,1237,15,1360,3444,498,701,1
238,727,2,386,918,76,1798,3264,512,129,1
301,2017,265,17,1784,70,1941,4189,964,271,16
498,86,1,634,1286,99,1627,3136,669,751,16
497,524,1,2285,2594,76,2835,6845,2136,3123,16
620,612,725,11,2602,76,2072,4643,1115,988,16
377,638,2,188,1511,32,2587,4645,1327,1029,16
682,101,1,982,2532,25,2638,5044,2116,214,16
654,26,1512,242,2493,101,5682,7292,1584,4143,16
459,46,0,817,2626,109,2565,4147,678,129,16
479,1647,23,2308,2816,81,4517,6469,1334,117,15
630,335,1737,138,1823,104,3503,6732,1142,132,16
586,1614,22,1094,3584,93,2633,6584,1353,977,11
533,271,21,930,3549,125,4131,5342,1269,498,10
434,483,821,2861,2448,426,3352,6196,674,1018,16
572,308,25,1344,3605,160,2880,5675,1457,1001,15
568,459,0,1985,3170,64,2208,6988,1363,797,16
478,182,1,2123,2312,62,2954,5602,429,998,16
499,1149,1,2205,2496,58,3080,5053,1655,1072,17
580,264,1,372,3127,89,1981,5122,1346,690,16
656,1295,0,1093,2462,72,2991,5847,2070,1035,1
631,406,2,1024,3204,108,2356,4714,1639,1039,2
541,2004,779,894,2951,148,5229,5282,3011,1323,10
693,831,800,1123,2578,131,3220,5325,2469,710,1
561,677,24,922,3361,507,3537,6098,2824,4027,16
740,1102,28,783,3237,221,5117,4911,2566,1383,15
797,1953,32,544,3078,134,3967,6805,2604,1335,16
502,1465,816,1561,3362,481,3670,8405,2725,1052,16
635,1755,1361,948,3039,135,3903,7461,1734,1735,4
447,612,32,360,3111,100,2936,6821,2173,2265,16
639,183,821,1082,2745,120,3748,5800,1667,1029,1
594,123,51,815,2928,88,2184,5108,1695,1806,2
670,14,1,759,2516,942,2708,6128,1753,1228,1
482,629,841,928,2480,90,4833,7067,1780,672,1
501,17,800,99,1947,83,1691,3950,1913,3233,1
545,429,0,676,2482,48,1309,3831,1363,4615,1
0,0,0,0,0,0,0,0,0,0,0
