"Economics, Policy & Politics",Marine,Fossil Fuels,Nuclear,Electricity Networks,Energy in Developing Countries,Teaching,Storage,Demand and Efficiency,Bioenergy,Transport,Solar,First name,Surname
1,0,0,0,0,1,0,0,0,0,0,0,John,Holmes
1,0,1,0,0,1,0,0,1,0,0,0,Anouk,Honore
0,0,1,0,0,0,0,0,1,0,0,0,Ian,Horrocks
0,1,1,0,0,0,0,0,0,0,0,0,Guy,Houlsby
0,0,0,0,0,0,0,1,0,0,0,1,Peter,Howell
0,0,0,0,0,1,0,1,0,0,1,0,David,Howey
0,0,0,0,0,0,0,0,0,0,0,0,Sam,Howison
0,0,0,1,0,0,0,0,0,0,1,0,Peter,Ireland
1,0,0,0,0,0,0,0,1,0,0,0,Katy,Janda
1,0,0,0,1,1,0,0,1,0,0,1,Christian,Jardine
0,0,0,0,0,1,0,1,0,0,0,1,Nick,Jelley
0,0,1,0,0,0,0,0,0,0,0,0,Hugh,Jenkyns
1,0,1,1,0,0,0,1,0,0,0,1,Angus,Johnston
0,0,0,0,1,0,0,1,0,0,1,0,Colin,Johnston
0,0,0,0,0,0,0,0,0,0,0,1,Michael,Johnston
1,0,0,0,0,0,0,0,0,0,1,0,Tim,Jones
1,0,1,0,0,0,0,0,0,0,0,0,Karg,Kama
1,0,0,0,0,0,0,0,1,0,0,0,Malcolm,Keay
0,0,0,0,0,0,0,1,1,0,0,1,Jong Min,Kim
0,0,0,0,0,0,0,0,0,0,1,0,Angus,Kirkland
1,1,0,1,1,0,0,0,0,0,0,0,Tim,Kruger
0,0,1,0,0,0,0,1,1,0,0,1,Vladimir,Kuznetsov
0,0,0,0,0,0,0,0,1,0,0,0,Marta,Kwiatkowska
0,0,0,0,1,0,0,0,1,0,1,0,Russell,Layberry
1,0,1,0,0,0,0,1,0,0,0,0,Bruce,Levell
0,0,0,0,0,0,0,0,0,0,1,0,David ,Limebeer
1,0,0,1,0,0,0,0,0,0,0,0,Chris,Llewellyn Smith
0,0,0,1,0,0,0,0,0,0,0,0,Sergio,Lozano-Perez
0,0,0,0,0,0,0,0,0,0,0,0,Neil,Macfarlane
0,0,1,0,0,0,0,0,0,0,0,0,Christopher,MacMinn
